,country_name,party_name_english,party_name_parlgov
1192,Netherlands,Catholic Peoples Party,Catholic People’s Party
1193,Netherlands,Livable Netherlands,Livable Netherlands
1194,Netherlands,Fortuyn List,
1195,Netherlands,"Liberal State Party ""The Freedom League""",
1196,Netherlands,Liberal Union ,
1197,Netherlands,Middle Party,
1198,Netherlands,National Socialist Movement in the Netherlands,
1199,Netherlands,"Plattelandersbond | National Farmers', Horticulturists' and Middle Class Party",
1200,Netherlands,Radical Political Party,Radical Political Party
1201,Netherlands,Pacifist Socialist Party,Pacifist Socialist Party
1202,Netherlands,Party for Freedom,Party of Freedom
1203,Netherlands,Labour Party,Labour Party
1204,Netherlands,Party for the Animals,Party for the Animals
1205,Netherlands,Roman Catholic Party,
1206,Netherlands,Roman Catholic People's Party,Catholic People’s Party
1207,Netherlands,Reformatory Political Federation,Reformatory Political Federation
1208,Netherlands,Revolutionary Socialist Party ,
1209,Netherlands,Reformatory Political Federation / Reformed Political League / Political Reformed Party,
1210,Netherlands,Social Democratic Workers' Party,
1211,Netherlands,Political Reformed Party,
1212,Netherlands,Socialist Party,Socialist Party
1213,Netherlands,Free-thinking Democratic League,
1214,Netherlands,People's Party for Freedom and Democracy,People’s Party for Freedom and Democracy
1215,Netherlands,no seat,
1216,Netherlands,no party affiliation,
1217,Netherlands,one seat,
1066,Luxembourg,Action Committee Pensions | Alternative Democratic Reform Party,
1067,Luxembourg,Citizens' List,
1068,Luxembourg,Christian Social People's Party,Christian Social People’s Party
1069,Luxembourg,The Left,The Left
1070,Luxembourg,Democratic Party,Democratic Party
1071,Luxembourg,Green Alternative,Green Alternative
1072,Luxembourg,Green and Liberal Alliance,
1073,Luxembourg,Green Left Ecological Initiative,Green Left Ecological Initiative
1074,Luxembourg,Group for Luxembourgian Sovereignty,
1075,Luxembourg,The Greens,The Greens
1076,Luxembourg,Communist Party of Luxembourg,Communist Party of Luxembourg
1077,Luxembourg,Democratic List ,
1078,Luxembourg,Liberal League ,
1079,Luxembourg,"Free List of Peasants, Middle Classes and Workers ",
1080,Luxembourg,Luxembourg Socialist Workers' Party,
1081,Luxembourg,Left Liberals,
1082,Luxembourg,Popular Independent Movement,
1083,Luxembourg,National Movement,
1084,Luxembourg,National Independent Union,
1085,Luxembourg,Progressive Democratic Party of the North,
1086,Luxembourg,Party of Farmers and the Middle Class,
1087,Luxembourg,Independent Party of the Middle Class 	,
1088,Luxembourg,Party for Full Democracy,
1089,Luxembourg,Independents of the East,
1090,Luxembourg,Liberal Party,
1091,Luxembourg,Independent National Party ,
1092,Luxembourg,Independent People's Party,
1093,Luxembourg,Party of the Right,
1094,Luxembourg,Radical Liberal Party ,
1095,Luxembourg,Jean Gremling List -- Independent Socialists,
1096,Luxembourg,Pirate Party Luxembourg,
1097,Luxembourg,Radical Left/Radical Party,
1098,Luxembourg,Radical Party (Marcel Cahen),
1099,Luxembourg,Radical Socialist Party ,
1100,Luxembourg,Social Democratic Party,Democratic Party
1101,Luxembourg,Coerced Conscripts,
1102,Luxembourg,no seat,
1103,Luxembourg,no party affiliation,
1104,Luxembourg,one seat,
496,France,Centrist Alliance,Centrist Alliance
497,France,Liberal People's Action,
498,France,Alliance of the Overseas,
499,France,Republican and Social Action,
500,France,Conservatives,
501,France,Democratic Centre,Democratic Centre
502,France,Centre Democracy and Progress,"Centre, Democracy and Progress"
503,France,Centre of Social Democrats,
504,France,National Centre of Independents and Peasants [Conservatives],National Centre of Independents and Peasants - Conservatives
505,France,"Hunting, Fishing, Nature, Tradition",
506,France,Centre Right,
507,France,Centre Left,
508,France,Arise the Republic | France Arise,
509,France,Unbowed France,
510,France,National Front,National Front
511,France,Gaullists,
512,France,Democratic and Republican Left,
513,France,Ecology Generation,Ecology Generation
514,France,Overseas Independents,
515,France,Independent Republicans | Liberal Democracy,
516,France,Revolutionary Communist League,
517,France,Workers' Struggle,
518,France,Citizens' Movement,
519,France,Movement for France,
520,France,Martinican Independence Movement,
521,France,National Republican Movement,Popular Republican Movement
522,France,Party of Presidential Majority,
523,France,Reformers Movement,Reformers’ Movement
524,France,Popular Republican Movement,Popular Republican Movement
525,France,New Centre,New Centre
526,France,French Communist Party,French Communist Party
527,France,Popular Democratic Party,
528,France,Party of New Forces,
529,France,Radical Socialist Party,Radical Socialist Party
530,France,Radical Party of the Left,
531,France,Conservatives,
532,France,Socialist Party,Socialist Party
533,France,French Socialist Party,Socialist Party
534,France,Unified Socialist Party,
535,France,Socialist Party of France -- Jean Jaures Union,
536,France, Proletarian Unity Party,
537,France,Radical-Socialist Party -- Citizens' Movement -- Greens,
538,France,African Democratic Rally,
539,France,The Republic Onwards!,Republic Onwards!
540,France,Rally of Republican Lefts,
541,France,Independent Radicals,
542,France,Progressive Republicans,
543,France,Rally for France,
544,France,Rally for the Republic,Rally for the Republic
545,France,RPR/UDF connected list,
546,France,Republican Socialist Party,Radical Socialist Party
547,France,Republicans,The Republicans
548,France,Left Republican ,
549,France,Independent Socialists,
550,France,Three Parties Alliance -- Third Force,
551,France,Union for the fifth republic,
552,France,Union for the Defence of Traders and Artisans -- Poujadists,Union for the Defence of Traders and Artisans - Poujadists
553,France,Union for French Democracy | Democratic Movement,
554,France,Union of Democrats and Independents,Union of Democrats and Independents
555,France,Democratic and Socialist Union of the Resistance,
556,France,Union of Democratic Forces,
557,France,Union for a Popular Movement | The Republicans,
558,France,Republican Union,
559,France,Greens,
560,France,other right,
561,France,other ecologists,
562,France,others,
563,France,other far-right,
564,France,other far-left,
565,France,other left,
566,France,no seat,
567,France,no party affiliation,
568,France,to be coded,
886,Italy,Democratic Alliance,Democratic Alliance
887,Italy,Associative Italians Abroad,
888,Italy,Autonomy Liberty Democracy,
889,Italy,National Alliance,National Alliance
890,Italy,Social Alternative Mussolini,
891,Italy,National Bloc,
892,Italy,Christian Democratic Centre,Christian Democratic Centre
893,Italy,Christian Democratic Centre / United Christian Democrats,
894,Italy, Democratic Centre,Democratic Centre
895,Italy,Republican Democratic Concentration,
896,Italy,United Christian Democrats,Christian Democrats
897,Italy,Social Christians,
898,Italy,Centre Right,
899,Italy,Centre Left,
900,Italy,Christian Democrats,Christian Democrats
901,Italy,Christian Democracy for the Autonomies,
902,Italy,European Democracy,European Democracy
903,Italy,Dini List -- Italian Renewal,
904,Italy,Democracy is Freedom -- The Daisy,
905,Italy,Proletarian Democracy,Proletarian Democracy
906,Italy,Democrats of the Left,Democrats of the Left
907,Italy,Go Italy -- The People of Freedom,
908,Italy,Future and Freedom for Italy,
909,Italy,Front of the Ordinary Man,
910,Italy,Brothers of Italy -- National Centre-right,Brothers of Italy - National Centre-right
911,Italy,Green Lists,
912,Italy,Federation of the Greens,
913,Italy,Federalism,
914,Italy,Stop the Decline,
915,Italy,Democracy,
916,Italy,Italy of Values,
917,Italy,Anticapitalist List,
918,Italy,Southern Action League,
919,Italy,Liberal Democrats,
920,Italy,Lombard League,
921,Italy,North League,Northern League
922,Italy,List for Trieste,
923,Italy,The Union-Prodi,The Union – Prodi
924,Italy,Venetian League,
925,Italy,Five Star Movement,Five Star Movement
926,Italy,Movement for the Independence of Sicily,
927,Italy,European Republicans Movement,
928,Italy,Fiamma Tricolore,
929,Italy,Italian Social Movement,Italian Social Movement
930,Italy,Movement for Autonomy,
931,Italy,New Centre-Right,
932,Italy,New PSI,
933,Italy,Action Party,
934,Italy,Prime minister,
935,Italy,Communist Party,
936,Italy,Democratic Party,Democratic Party
937,Italy,Italian Democratic Party of Monarchist Unity,
938,Italy,Liberal Democratic Pole,
939,Italy,Italian Liberal Party,Italian Liberal Party
940,Italy,Popular Monarchist Party,
941,Italy,Monarchist National Party,
942,Italy,National Pensioners' Party,
943,Italy,Pensioners' Party,
944,Italy,Italian People's Party,Italian Popular Party
945,Italy,Communist Refoundation Party,Communist Refoundation Party
946,Italy,Republican Party,Italian Republican Party
947,Italy,Segni Pact,
948,Italy,Sardinian Action Party,
949,Italy,Italian Democratic Socialist Party,Italian Democratic Socialist Party
950,Italy,Italian Socialist Party,Italian Socialist Party
951,Italy,Socialist Party of Proletarian Unity,
952,Italy,Agrarian Party,
953,Italy,Pole of Autonomy,
954,Italy,Party of the Italian Communists,Party of Italian Communists
955,Italy,Proletarian Unity Party,
956,Italy,Popular Party for Prodi,
957,Italy,Italian Democratic Socialists | Party,Italian Democratic Socialist Party
958,Italy,Radicals,
959,Italy,Civil Revolution,Civil Revolution
960,Italy,Movement for Democracy -- The Net,
961,Italy,Italian Renewal,Italian Renewal
962,Italy,Civic Choice,Civic Choice
963,Italy,Left (Ecology) Freedom,Left Ecology Freedom
964,Italy,South Tyrol Peoples Party,South Tyrolean People’s Party
965,Italy,Union / Centre,
966,Italy,Democratic Union,
967,Italy,Union of Democrats for Europe,
968,Italy,National Democratic Union,
969,Italy,Union of republican democrats,
970,Italy,Valdotanian Union,
971,Italy,Democratic Union of the Centre,
972,Italy,Rainbow Greens,
973,Italy,others,
974,Italy,no seat,
975,Italy,no party affiliation,
976,Italy,one seat,
977,Italy,to be coded,
372,Spain,Canary Islands Group,
373,Spain,People's Alliance-Party,
374,Spain,Ruiz-Mateos List,
375,Spain,Galician Nationalist Block,Galician Nationalist Bloc
376,Spain,Yes,
377,Spain,European-Nationalist Coalition,
378,Spain,Citizens -- Party of the Citizenry,
379,Spain,Aragonese Council,Aragonist Council
380,Spain,Canary Coalition,Canarian Coalition
381,Spain,Democratic Convergence of Catalonia,Democratic Convergence of Catalonia
382,Spain,Democratic and Social Centre,
383,Spain,For the Europe of the Peoples,
384,Spain,Confederation of the Greens,
385,Spain,Convergence and Union,Convergence and Union
386,Spain,Compromise | A la valenciana,
387,Spain,Basque Solidarity,Basque Solidarity
388,Spain,In Common We Can,In Common We Can
389,Spain,Electoral Coalition of Christian Democratic Team,
390,Spain,Basque Left,Basque Left
391,Spain,Basque Country Unite,Basque Country Unite
392,Spain,In Tide,In Tide
393,Spain,Europe of the People -- The Greens,
394,Spain,Republican Left of Catalonia,
395,Spain,United Extremadura,
396,Spain,United People,
397,Spain,Initiative for Catalonia Greens,
398,Spain,Internationalist Initiative -- Solidarity between Peoples,
399,Spain,Left of the Peoples,
400,Spain,Greens Ecologists,
401,Spain,We Can,We can
402,Spain,Andalusian Party,Andalusian Party
403,Spain,Animalist Party Against Mistreatment to Animals,
404,Spain,Aragonese Regionalist Party,Aragonese Regionalist Party
405,Spain,Communist Party | United Left,
406,Spain,Popular Democratic Party,Popular Democratic Party
407,Spain,Liberal Party,Liberal Party
408,Spain,Basque Nationalist Party,Basque Nationalist Party
409,Spain,Socialists' Party of Catalonia,
410,Spain,Spanish Socialist Workers Party,Spanish Socialist Workers’ Party
411,Spain,People's Socialist Party,
412,Spain,Party of Labour of Spain,
413,Spain,Workers' Party of Spain -- Communist Unity,
414,Spain,Union of the Democratic Centre,Union of the Democratic Centre/Centrist Bloc
415,Spain,Union of Centre and Christian Democracy of Catalonia,
416,Spain,National Union,
417,Spain,"Union, Progress and Democracy","Union, Progress and Democracy"
418,Spain,Valencian Union,
419,Spain,Voice,
420,Spain,others,
421,Spain,no seat,
422,Spain,no party affiliation,
423,Spain,one seat,
424,Spain,to be coded,
615,Greece,Front of the Greek Anticapitalist Left,
616,Greece,Independent Greeks,Independent Greeks
617,Greece,Christian Democracy,
618,Greece,Action -- Liberal Alliance,
619,Greece,Democratic Renewal,
620,Greece,Democratic Social Movement,Democratic Social Movement
621,Greece,Democratic Left,Democratic Left
622,Greece,Democratic Alliance,
623,Greece,Recreate Greece,
624,Greece,United Democratic Left,Democratic Left
625,Greece,National Democratic Union,
626,Greece,Union of the Democratic Centre,Union of the Democratic Centre
627,Greece,Greek Democratic Ecological Movement,
628,Greece,Greek European Citizens,
629,Greece,Union of Centrists,Union of Centrists
630,Greece,National Alignment,National Alignment
631,Greece,National Political Union,
632,Greece,Union for the Homeland and the People,
633,Greece,Independent Muslim Lists,
634,Greece,Party of Democratic Socialism,
635,Greece,Communist Party of Greece (Interior),Communist Party of Greece
636,Greece,Party of Greek Hunters,
637,Greece,Liberal Party,
638,Greece,Movement of Democratic Socialists,
639,Greece,Communist Party of Greece,Communist Party of Greece
640,Greece,Party of New Liberals,
641,Greece,Progressive Party,
642,Greece,Popular Orthodox Rally,Popular Orthodox Rally
643,Greece,Popular Unity,Popular Unity
644,Greece,Peoples Association -- Golden Dawn,
645,Greece,New Democracy,New Democracy
646,Greece,Alternative Ecologists,
647,Greece,The Liberals,
648,Greece,Ecologist Greens,
649,Greece,Panhellenic Socialist Movement,Panhellenic Socialist Movement
650,Greece,Panhellenic Macedonian Front,
651,Greece,Political Spring,Political Spring
652,Greece,Coalition of the Left,Coalition of the Radical Left
653,Greece,Coalition of the Radical Left,Coalition of the Radical Left
654,Greece,The River,The River
655,Greece,Dot -- Apostolos Gkletsos,
656,Greece,no seat,
657,Greece,no party affiliation,
1331,Portugal,Democratic Alliance,
1332,Portugal,United People Alliance,
1333,Portugal,Independent Social Democrats,
1334,Portugal,Bloc of the Left,
1335,Portugal,Democratic and Social Centre -- People's Party,
1336,Portugal,Unified Democratic Coalition,Unified Democratic Coalition
1337,Portugal,Republican and Socialist Front,
1338,Portugal,People's Socialist Front,
1339,Portugal,Democratic Intervention,Democratic Intervention
1340,Portugal,Livre,
1341,Portugal,Democratic Movement,Popular Democratic Movement
1342,Portugal,Hope for Portugal Movement,
1343,Portugal,Movement of Socialist Left,
1344,Portugal,Earth Party,
1345,Portugal,Party for Animals and Nature,
1346,Portugal,Portuguese Communist Party,Portuguese Communist Party
1347,Portugal,Communist Party of the Portuguese Workers / Reorganizative Movement of the Party of the Proletariat,
1348,Portugal,Christian Democratic Party,
1349,Portugal,Republican Democratic Party,Popular Democratic Party
1350,Portugal,Ecology Party -- Greens,
1351,Portugal,Workers Party of Socialist Unity,
1352,Portugal,Popular Monarchist Party,Popular Monarchist Party
1353,Portugal,Democratic Renewal Party,Democratic Renewal Party
1354,Portugal,Socialist Party,Socialist Party
1355,Portugal,Social Democratic Party,Social Democratic Party
1356,Portugal,National Solidarity Party,National Solidarity Party
1357,Portugal,Revolutionary Socialist Party,
1358,Portugal,Reformists,
1359,Portugal,Popular Democratic Union,Popular Democratic Union
1360,Portugal,Leftwing Union for the Socialist Democracy,Leftwing Union for the Socialist Democracy
1361,Portugal,no party affiliation,
1362,Portugal,one seat,
1363,Portugal,to be coded,
297,Germany,Labour and Social Justice -- The Electoral Alternative,
298,Germany,Alternative for Germany,Alternative for Germany
299,Germany,Alliance 90 / Greens -- Citizens' Movement,
300,Germany,Alliance 90 / Greens,Alliance‘90/Greens
301,Germany,Confederation of free citizens -- Offensive for Germany,
302,Germany,Bavarian Party,Bavarian Party
303,Germany,Christian Democratic Union,
304,Germany,Christian Democratic Union / Christian Social Union,Christian Democratic Union/Christian Social Union
305,Germany,Christian Social Union,
306,Germany,German Peace Union,
307,Germany,German Party,German Party
308,Germany,German Reich Party,German Reich Party
309,Germany,German People's Union,
310,Germany,Centre Party,Centre Party
311,Germany,Free Democratic Party,Free Democratic Party
312,Germany,Free People's Party,
313,Germany,Free Voters,
314,Germany,Family Party of Germany,
315,Germany,Peace alliance,
316,Germany,All-German Bloc / League of Expellees and Deprived of Rights,
317,Germany,All-German Party,German Party
318,Germany,All-German People's Party,
319,Germany,The Grays -- Gray Panthers,
320,Germany,Communist Party of Germany,Communist Party of Germany
321,Germany,The Left / PDS,
322,Germany,National Democratic Party,
323,Germany,THE PARTY,
324,Germany,German Pirate Party,
325,Germany,The Republicans,
326,Germany,Social Democratic Party of Germany,Social Democratic Party of Germany
327,Germany,Animal Protection Party,
328,Germany,Economic Reconstruction League,Economic Reconstruction League
329,Germany,no seat,
330,Germany,no party affiliation,
331,Germany,one seat,
49,Austria,Alternative List Austria,
50,Austria,Alliance for the Future of Austria,Alliance for the Future of Austria
51,Austria,Christian Social Alliance (Karl Habsburg List),
52,Austria,Democratic Progressive Party,
53,Austria,The Independents -- Lugner's List,
54,Austria,"EU Withdrawal, Direct Democracy, Neutrality",
55,Austria,Freedom Party of Austria,
56,Austria,The Citizens' Forum Austria,
57,Austria,My Vote Counts!,
58,Austria,The Greens -- The Green Alternative,
59,Austria,Communist Party of Austria,
60,Austria,Liberal Forum,Liberal Forum
61,Austria,Hans-Peter Martin's List,
62,Austria,Citizens' Initiative for the retention of neutrality,
63,Austria,NEOS -- The New Austria,
64,Austria,No -- Citizens' Initiative against EU membership,
65,Austria,Austrian People's Party,Austrian People’s Party
66,Austria,Peter Pilz List,Peter Pilz List
67,Austria,The Reform Conservatives,
68,Austria,Social Democratic Party of Austria,
69,Austria,Team Stronach,
70,Austria,United Greens Austria,
71,Austria,no seat,
72,Austria,no party affiliation,
73,Austria,to be coded,
196,Switzerland,Conservative Democratic Party of Switzerland,Conservative Democratic Party of Switzerland
197,Switzerland,Young Peasants Movement,
198,Switzerland,Conservative Peoples Party,Conservative People’s Party
199,Switzerland,Christian Social Party,Christian Social Party
200,Switzerland,Democratic Group,
201,Switzerland,Federal Democratic Union of Switzerland,
202,Switzerland,Agreement Jura,
203,Switzerland,Protestant Peoples Party,
204,Switzerland,Radical Democratic Party,Radical Democratic Party
205,Switzerland,Feminists and Green-Alternative Groups,
206,Switzerland,Automobile Party | Freedom Party of Switzerland,
207,Switzerland,Green Liberal Party,Green Liberal Party
208,Switzerland,Grutli Society,
209,Switzerland,Greens,Greens
210,Switzerland,Committee Herbert Maeder,
211,Switzerland,Liberal Socialist Party,
212,Switzerland,Liberal Party of Switzerland,Liberal Party of Switzerland
213,Switzerland,Ticino League,Ticino League
214,Switzerland,Independents Alliance,Independents’ Alliance
215,Switzerland,Geneva Citizens' Movement,Geneva Citizens' Movement
216,Switzerland,National Action -- Swiss Democrats,
217,Switzerland,Progressive Organisations of Switzerland,
218,Switzerland,Autonomous Socialist Party,
219,Switzerland,Swiss Party of Labour,
220,Switzerland,Republican Movement,
221,Switzerland,Solidarity,
222,Switzerland,Social Democratic Party of Switzerland,Social Democratic Party of Switzerland
223,Switzerland,Swiss People's Party,Swiss People’s Party
224,Switzerland,National Union,
225,Switzerland,others,
226,Switzerland,no party affiliation,
227,Switzerland,one seat,
569,United Kingdom,British National Party,Scottish National Party
570,United Kingdom,Constitutionalist,
571,United Kingdom,Conservatives and National Liberals,
572,United Kingdom,The Christian Party -- Christian Peoples Alliance in England,
